series_name,series_code,underlying,asset_class,sub_asset_class,product_type,structure_type,market_segment,market_development,region,currency,term,tenor,source_default,bbg_field,bbg_data_type,mds_field,mds_data_type,bbg_ticker,mds_ticker,hawk_field,hawk_ticker,valid_from,valid_to,calculation_formula,des_notes,is_synthetic
EUR 2Y Interest Rate Swap,EUR2YSW_PX_LAST,EUR2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,Europe,EUR,Medium-term,2Y,BBG,PX_LAST,Rate,,,EUSA2 Curncy,,,,,,,Source sheet row 7.,False
JPY 2Y Interest Rate Swap,JPY2YSW_PX_LAST,JPY2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,Asia Pacific,JPY,Medium-term,2Y,BBG,PX_LAST,Rate,,,JYSO2 Curncy,,,,,,,Source sheet row 8.,False
CHF 2Y Interest Rate Swap,CHF2YSW_PX_LAST,CHF2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,Europe,CHF,Medium-term,2Y,BBG,PX_LAST,Rate,,,SFSW2 Curncy,,,,,,,Source sheet row 113. Duplicate underlying in source sheet: row 9 gives SFSNT2 Curncy for the same underlying. Row 113's SFSW2 kept because it matches the existing datalake entry SFSW2_PX_LAST; row 9 dropped. VERIFY which ticker is authoritative.,False
GBP 2Y Interest Rate Swap,GBP2YSW_PX_LAST,GBP2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,Europe,GBP,Medium-term,2Y,BBG,PX_LAST,Rate,,,BPSWS2 Curncy,,,,,,,Source sheet row 10.,False
NOK 2Y Interest Rate Swap,NOK2YSW_PX_LAST,NOK2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,Europe,NOK,Medium-term,2Y,BBG,PX_LAST,Rate,,,NKSW2 Curncy,,,,,,,Source sheet row 11.,False
SEK 2Y Interest Rate Swap,SEK2YSW_PX_LAST,SEK2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,Europe,SEK,Medium-term,2Y,BBG,PX_LAST,Rate,,,SKSW2 Curncy,,,,,,,Source sheet row 12.,False
AUD 2Y Interest Rate Swap,AUD2YSW_PX_LAST,AUD2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,Asia Pacific,AUD,Medium-term,2Y,BBG,PX_LAST,Rate,,,ADSWAP2 Curncy,,,,,,,Source sheet row 13.,False
NZD 2Y Interest Rate Swap,NZD2YSW_PX_LAST,NZD2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,Asia Pacific,NZD,Medium-term,2Y,BBG,PX_LAST,Rate,,,NDSWAP2 Curncy,,,,,,,Source sheet row 14.,False
USD 2Y Interest Rate Swap,USD2YSW_PX_LAST,USD2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,North America,USD,Medium-term,2Y,BBG,PX_LAST,Rate,,,USOSFR2 BGN Curncy,,,,,,,Source sheet row 124. Source sheet region 'DM EM' -- also serves as the quote leg for USD-quoted EM pairs.,False
KRW 2Y Interest Rate Swap,KRW2YSW_PX_LAST,KRW2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Asia Pacific,KRW,Medium-term,2Y,BBG,PX_LAST,Rate,,,KWSWO2 Curncy,,,,,,,Source sheet row 38.,False
THB 2Y Interest Rate Swap,THB2YSW_PX_LAST,THB2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Asia Pacific,THB,Medium-term,2Y,BBG,PX_LAST,Rate,,,TBSWH2 BGN Curncy,,,,,,,Source sheet row 39. Duplicated at source sheet row 123 with the identical ticker; kept once.,False
MYR 2Y Interest Rate Swap,MYR2YSW_PX_LAST,MYR2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Asia Pacific,MYR,Medium-term,2Y,BBG,PX_LAST,Rate,,,MRSWNI2 Curncy,,,,,,,Source sheet row 40.,False
IDR 2Y Interest Rate Swap,IDR2YSW_PX_LAST,IDR2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Asia Pacific,IDR,Medium-term,2Y,BBG,PX_LAST,Rate,,,BV020132 BVLI Index,,,,,,,Source sheet row 41.,False
CLP 2Y Interest Rate Swap,CLP2YSW_PX_LAST,CLP2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Latin America,CLP,Medium-term,2Y,BBG,PX_LAST,Rate,,,CHSWP2 CMPN Curncy,,,,,,,Source sheet row 44.,False
PEN 2Y Interest Rate Swap,PEN2YSW_PX_LAST,PEN2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Latin America,PEN,Medium-term,2Y,BBG,PX_LAST,Rate,,,PENSSS2 BGN Curncy,,,,,,,Source sheet row 45.,False
